college,program,branch,fees_inr,avg_package_inr,placement,location
IIT Bombay,B.Tech,CSE,1000000,1800000,95,Mumbai
IIT Delhi,B.Tech,ECE,1050000,1700000,94,Delhi
IIT Kanpur,B.Tech,ME,980000,1500000,92,Kanpur
IIT Madras,B.Tech,EE,970000,1400000,91,Chennai
IIT Kharagpur,B.Tech,CSE,990000,1450000,93,Kharagpur
NIT Trichy,B.Tech,CSE,850000,1200000,89,Trichy
NIT Surathkal,B.Tech,EEE,870000,1150000,88,Surathkal
NIT Warangal,B.Tech,ECE,860000,1180000,87,Warangal
IIIT Hyderabad,B.Tech,CSE,1500000,2000000,98,Hyderabad
BITS Pilani,B.E.,CSE,1600000,1900000,96,Pilani
